Pokemon_1,Type_1,Type_number_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2,Type_2,Type_number_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index,N_Pokemon_1,N_Pokemon_2
Teddiursa,Normal,5,60,80,50,40,230,Giratina Origin Forme,Ghost,16,150,120,100,90,460,0,8485,216,487
Ursaring,Normal,5,90,130,75,55,350,Gourgeist Average Size,Ghost,16,65,90,122,84,361,0,8486,217,711
Slugma,Fire,2,40,40,40,20,140,Gourgeist Large Size,Ghost,16,75,95,122,69,281,0,8487,218,711
Magcargo,Fire,2,60,50,120,30,260,Gourgeist Small Size,Ghost,16,55,85,122,99,261,0,8488,219,711
Swinub,Ice,10,50,50,40,50,190,Gourgeist Super Size,Ghost,16,85,100,122,54,261,0,8489,220,711
Piloswine,Ice,10,100,100,80,50,330,Haunter,Ghost,16,45,50,45,95,135,1,8490,221,93
Corsola,Water,3,65,55,95,35,250,Lampent,Ghost,16,60,40,60,55,105,1,8491,222,608
Galarian Corsola,Ghost,16,60,55,100,30,245,Litwick,Ghost,16,50,30,55,20,45,1,8492,222,607
Remoraid,Water,3,35,65,35,65,200,Mega Banette,Ghost,16,64,165,75,75,314,0,8493,223,354
Octillery,Water,3,75,105,75,45,300,Mega Gengar,Ghost,16,60,65,80,130,230,1,8494,224,94
Delibird,Ice,10,45,55,45,75,220,Mimikyu,Ghost,16,55,90,80,96,266,0,8495,225,778
Mantine,Water,3,85,40,70,70,265,Misdreavus,Ghost,16,60,60,60,85,225,1,8496,226,200
Skarmory,Steel,12,65,80,140,70,355,Mismagius,Ghost,16,60,60,60,105,205,1,8497,227,429
Houndour,Dark,6,45,60,30,65,200,Oricorio Sensu Style,Ghost,16,75,70,70,93,188,1,8498,228,741
Houndoom,Dark,6,75,90,50,95,310,Palossand,Ghost,16,85,75,110,35,125,1,8499,229,770
Mega Houndoom,Dark,6,75,90,90,115,370,Phantump,Ghost,16,43,70,48,38,19,1,8500,229,708
Kingdra,Water,3,75,95,95,85,350,Polteageist,Ghost,16,60,65,65,70,165,1,8501,230,855
Phanpy,Ground,9,90,60,60,40,250,Pumpkaboo Average Size,Ghost,16,49,66,70,51,206,1,8502,231,710
Donphan,Ground,9,90,120,120,50,380,Pumpkaboo Large Size,Ghost,16,54,66,70,46,176,1,8503,232,710
Porygon2,Normal,5,85,80,90,60,315,Pumpkaboo Small Size,Ghost,16,44,66,70,56,236,1,8504,233,710
Stantler,Normal,5,73,95,62,85,315,Pumpkaboo Super Size,Ghost,16,59,66,70,41,236,1,8505,234,710
Smeargle,Normal,5,55,20,35,75,185,Sandygast,Ghost,16,55,55,80,15,205,0,8506,235,769
Tyrogue,Fighting,13,35,35,35,35,140,Shuppet,Ghost,16,44,75,35,45,164,0,8507,236,353
Hitmontop,Fighting,13,50,95,95,70,310,Sinistea,Ghost,16,40,45,45,50,85,1,8508,237,854
Smoochum,Ice,10,45,30,15,65,155,Spiritomb,Ghost,16,50,92,108,35,255,0,8509,238,442
Elekid,Electric,8,45,63,37,95,240,Trevenant,Ghost,16,85,110,76,56,295.5,0,8510,239,709
Magby,Fire,2,45,75,37,83,240,Yamask,Ghost,16,38,30,85,30,108,1,8511,240,562
Miltank,Normal,5,95,80,105,100,380,Banette,Ghost,16,64,115,65,65,309,1,8512,241,354
Blissey,Normal,5,255,10,10,55,330,Chandelure,Ghost,16,60,55,90,80,285,1,8513,242,609
Raikou,Electric,8,90,85,75,115,365,Cofagrigus,Ghost,16,58,50,145,30,198,1,8514,243,563
Entei,Fire,2,115,115,85,100,415,Cursola,Ghost,16,60,95,50,30,120,1,8515,244,864
Suicune,Water,3,100,75,115,85,375,Dhelmise,Ghost,16,70,131,100,40,303.5,1,8516,245,781
Larvitar,Rock,15,50,64,50,41,205,Drifblim,Ghost,16,150,80,44,80,226,0,8517,246,426
Pupitar,Rock,15,70,84,70,51,275,Drifloon,Ghost,16,90,50,34,70,76,1,8518,247,425
Tyranitar,Rock,15,100,134,110,61,405,Dusclops,Ghost,16,40,70,130,25,131,1,8519,248,356
Mega Tyranitar,Rock,15,100,164,150,71,485,Dusknoir,Ghost,16,45,100,135,45,161,1,8520,248,477
Lugia,Psychic,14,106,90,130,110,436,Duskull,Ghost,16,20,40,90,25,85,1,8521,249,355
Ho-oh,Fire,2,106,130,90,90,416,Galarian Corsola,Ghost,16,60,55,100,30,115,1,8522,250,222
Celebi,Psychic,14,100,100,100,100,400,Gastly,Ghost,16,30,35,30,80,-25,1,8523,251,92
Treecko,Grass,1,40,45,35,70,190,Gengar,Ghost,16,60,65,60,110,272.5,0,8524,252,94
Grovyle,Grass,1,50,65,45,95,255,Giratina Altered Forme,Ghost,16,150,100,120,90,427.5,0,8525,253,487
Sceptile,Grass,1,70,85,65,120,340,Giratina Origin Forme,Ghost,16,150,120,100,90,417.5,0,8526,254,487
Mega Sceptile,Grass,1,70,110,75,145,400,Gourgeist Average Size,Ghost,16,65,90,122,84,306,1,8527,254,711
Torchic,Fire,2,45,60,40,45,190,Gourgeist Large Size,Ghost,16,75,95,122,69,241,0,8528,255,711
Combusken,Fire,2,60,85,60,55,260,Gourgeist Small Size,Ghost,16,55,85,122,99,191,1,8529,256,711
Blaziken,Fire,2,80,120,70,80,350,Gourgeist Super Size,Ghost,16,85,100,122,54,121,1,8530,257,711
Mega Blaziken,Fire,2,80,160,80,100,420,Haunter,Ghost,16,45,50,45,95,75,1,8531,257,93
Mudkip,Water,3,50,70,50,40,210,Lampent,Ghost,16,60,40,60,55,75,1,8532,258,608
Marshtomp,Water,3,70,85,70,50,275,Litwick,Ghost,16,50,30,55,20,-15,1,8533,259,607
Swampert,Water,3,100,110,90,60,360,Mega Banette,Ghost,16,64,165,75,75,269,1,8534,260,354
Mega Swampert,Water,3,100,150,110,70,430,Mega Gengar,Ghost,16,60,65,80,130,185,1,8535,260,94
Poochyena,Dark,6,35,55,35,35,160,Mimikyu,Ghost,16,55,90,80,96,266,0,8536,261,778
Mightyena,Dark,6,70,90,70,70,300,Misdreavus,Ghost,16,60,60,60,85,85,1,8537,262,200
Zigzagoon,Normal,5,38,30,41,60,169,Mismagius,Ghost,16,60,60,60,105,285,0,8538,263,429
Galarian Zigzagoon,Dark,6,38,30,41,60,169,Oricorio Sensu Style,Ghost,16,75,70,70,93,248,0,8539,263,741
Linoone,Normal,5,78,70,61,100,309,Palossand,Ghost,16,85,75,110,35,305,1,8540,264,770
Galarian Linoone,Dark,6,78,70,61,100,309,Phantump,Ghost,16,43,70,48,38,59,1,8541,264,708
Wurmple,Bug,4,45,45,35,20,145,Polteageist,Ghost,16,60,65,65,70,237.5,0,8542,265,855
Silcoon,Bug,4,50,35,55,15,155,Pumpkaboo Average Size,Ghost,16,49,66,70,51,201,0,8543,266,710
Beautifly,Bug,4,60,70,50,65,245,Pumpkaboo Large Size,Ghost,16,54,66,70,46,166,1,8544,267,710
Cascoon,Bug,4,50,35,55,15,155,Pumpkaboo Small Size,Ghost,16,44,66,70,56,201,0,8545,268,710
Dustox,Bug,4,60,50,70,65,245,Pumpkaboo Super Size,Ghost,16,59,66,70,41,186,1,8546,269,710
Lotad,Water,3,40,30,30,30,130,Sandygast,Ghost,16,55,55,80,15,145,0,8547,270,769
Lombre,Water,3,60,50,50,50,210,Shuppet,Ghost,16,44,75,35,45,149,1,8548,271,353
Ludicolo,Water,3,80,70,70,70,290,Sinistea,Ghost,16,40,45,45,50,110,1,8549,272,854
Seedot,Grass,1,40,40,50,30,160,Spiritomb,Ghost,16,50,92,108,35,245,0,8550,273,442
Nuzleaf,Grass,1,70,70,40,60,240,Trevenant,Ghost,16,85,110,76,56,292,0,8551,274,709
Shiftry,Grass,1,90,100,60,80,330,Yamask,Ghost,16,38,30,85,30,83,1,8552,275,562
Taillow,Normal,5,40,55,30,85,210,Banette,Ghost,16,64,115,65,65,309,0,8553,276,354
Swellow,Normal,5,60,85,60,125,330,Chandelure,Ghost,16,60,55,90,80,285,1,8554,277,609
Wingull,Water,3,40,30,30,85,185,Cofagrigus,Ghost,16,58,50,145,30,253,0,8555,278,563
Pelipper,Water,3,60,50,100,65,275,Cursola,Ghost,16,60,95,50,30,185,1,8556,279,864
Ralts,Psychic,14,28,25,25,40,118,Dhelmise,Ghost,16,70,131,100,40,316,0,8557,280,781
Kirlia,Psychic,14,38,35,35,50,158,Drifblim,Ghost,16,150,80,44,80,319,0,8558,281,426
Gardevoir,Psychic,14,68,65,65,80,278,Drifloon,Ghost,16,90,50,34,70,179,1,8559,282,425
Mega Gardevoir,Psychic,14,68,85,65,100,318,Dusclops,Ghost,16,40,70,130,25,180,1,8560,282,356
Surskit,Bug,4,40,30,32,65,167,Dusknoir,Ghost,16,45,100,135,45,310,0,8561,283,477
Masquerain,Bug,4,70,60,62,80,272,Duskull,Ghost,16,20,40,90,25,145,1,8562,284,355
Shroomish,Grass,1,60,40,60,35,195,Galarian Corsola,Ghost,16,60,55,100,30,205,0,8563,285,222
Breloom,Grass,1,60,130,80,70,340,Gastly,Ghost,16,30,35,30,80,110,1,8564,286,92
Slakoth,Normal,5,60,60,60,30,210,Gengar,Ghost,16,60,65,60,110,295,0,8565,287,94
Vigoroth,Normal,5,80,80,80,90,330,Giratina Altered Forme,Ghost,16,150,100,120,90,460,0,8566,288,487
Slaking,Normal,5,150,160,100,100,510,Giratina Origin Forme,Ghost,16,150,120,100,90,460,1,8567,289,487
Nincada,Bug,4,31,45,90,40,206,Gourgeist Average Size,Ghost,16,65,90,122,84,316,0,8568,290,711
Ninjask,Bug,4,61,90,45,160,356,Gourgeist Large Size,Ghost,16,75,95,122,69,271,1,8569,291,711
Shedinja,Bug,4,1,90,45,40,176,Gourgeist Small Size,Ghost,16,55,85,122,99,271,0,8570,292,711
Whismur,Normal,5,64,51,23,28,166,Gourgeist Super Size,Ghost,16,85,100,122,54,361,0,8571,293,711
Loudred,Normal,5,84,71,43,48,246,Haunter,Ghost,16,45,50,45,95,235,1,8572,294,93
Exploud,Normal,5,104,91,63,68,326,Lampent,Ghost,16,60,40,60,55,215,1,8573,295,608
Makuhita,Fighting,13,72,60,30,25,187,Litwick,Ghost,16,50,30,55,20,125,1,8574,296,607
Hariyama,Fighting,13,144,120,60,50,374,Mega Banette,Ghost,16,64,165,75,75,259,1,8575,297,354
Azurill,Normal,5,50,20,40,20,130,Mega Gengar,Ghost,16,60,65,80,130,335,0,8576,298,94
Nosepass,Rock,15,30,45,135,30,240,Mimikyu,Ghost,16,55,90,80,96,276,0,8577,299,778
Skitty,Normal,5,50,45,45,50,190,Misdreavus,Ghost,16,60,60,60,85,265,0,8578,300,200
Delcatty,Normal,5,70,65,65,90,290,Mismagius,Ghost,16,60,60,60,105,285,1,8579,301,429
Sableye,Dark,6,50,75,75,50,250,Oricorio Sensu Style,Ghost,16,75,70,70,93,158,1,8580,302,741
Mega Sableye,Dark,6,50,85,125,20,280,Palossand,Ghost,16,85,75,110,35,135,1,8581,302,770
Mawile,Steel,12,50,85,85,50,270,Phantump,Ghost,16,43,70,48,38,114,1,8582,303,708
Mega Mawile,Steel,12,50,105,125,50,330,Polteageist,Ghost,16,60,65,65,70,155,1,8583,303,855
Aron,Steel,12,50,70,100,30,250,Pumpkaboo Average Size,Ghost,16,49,66,70,51,166,1,8584,304,710
Lairon,Steel,12,60,90,140,40,330,Pumpkaboo Large Size,Ghost,16,54,66,70,46,146,1,8585,305,710
Aggron,Steel,12,70,110,180,50,410,Pumpkaboo Small Size,Ghost,16,44,66,70,56,126,1,8586,306,710
Mega Aggron,Steel,12,70,140,230,50,490,Pumpkaboo Super Size,Ghost,16,59,66,70,41,96,1,8587,306,710
Meditite,Fighting,13,30,40,55,60,185,Sandygast,Ghost,16,55,55,80,15,165,1,8588,307,769
Medicham,Fighting,13,60,60,75,80,275,Shuppet,Ghost,16,44,75,35,45,139,1,8589,308,353
Mega Medicham,Fighting,13,60,100,85,100,345,Sinistea,Ghost,16,40,45,45,50,80,1,8590,308,854
Electrike,Electric,8,40,45,40,65,190,Spiritomb,Ghost,16,50,92,108,35,240,0,8591,309,442
Manectric,Electric,8,70,75,60,105,310,Trevenant,Ghost,16,85,110,76,56,289.5,1,8592,310,709
Mega Manectric,Electric,8,70,75,80,135,360,Yamask,Ghost,16,38,30,85,30,108,1,8593,310,562
Plusle,Electric,8,60,50,40,95,245,Banette,Ghost,16,64,115,65,65,259,0,8594,311,354
Minun,Electric,8,60,40,50,95,245,Chandelure,Ghost,16,60,55,90,80,245,0,8595,312,609
Volbeat,Bug,4,65,73,75,85,298,Cofagrigus,Ghost,16,58,50,145,30,246.5,1,8596,313,563
Illumise,Bug,4,65,47,75,85,272,Cursola,Ghost,16,60,95,50,30,211.5,1,8597,314,864
Roselia,Grass,1,50,60,45,65,220,Dhelmise,Ghost,16,70,131,100,40,311,0,8598,315,781
Gulpin,Poison,7,70,43,53,40,206,Drifblim,Ghost,16,150,80,44,80,332.5,0,8599,316,426
Swalot,Poison,7,100,73,83,55,311,Drifloon,Ghost,16,90,50,34,70,207.5,1,8600,317,425
Carvanha,Water,3,45,90,20,65,220,Dusclops,Ghost,16,40,70,130,25,175,1,8601,318,356
Sharpedo,Water,3,70,120,40,95,325,Dusknoir,Ghost,16,45,100,135,45,205,1,8602,319,477
Mega Sharpedo,Water,3,70,140,70,105,385,Duskull,Ghost,16,20,40,90,25,35,1,8603,319,355
Wailmer,Water,3,130,70,35,60,295,Galarian Corsola,Ghost,16,60,55,100,30,175,1,8604,320,222
Wailord,Water,3,170,90,45,60,365,Gastly,Ghost,16,30,35,30,80,85,1,8605,321,92
Numel,Fire,2,60,60,40,35,195,Gengar,Ghost,16,60,65,60,110,235,0,8606,322,94
Camerupt,Fire,2,70,100,70,40,280,Giratina Altered Forme,Ghost,16,150,100,120,90,410,0,8607,323,487
Mega Camerupt,Fire,2,70,120,100,20,310,Giratina Origin Forme,Ghost,16,150,120,100,90,400,0,8608,323,487
Torkoal,Fire,2,70,85,140,20,315,Gourgeist Average Size,Ghost,16,65,90,122,84,191,1,8609,324,711
Spoink,Psychic,14,60,25,35,60,180,Gourgeist Large Size,Ghost,16,75,95,122,69,336,0,8610,325,711
Grumpig,Psychic,14,80,45,65,80,270,Gourgeist Small Size,Ghost,16,55,85,122,99,316,0,8611,326,711
Spinda,Normal,5,60,60,60,60,240,Gourgeist Super Size,Ghost,16,85,100,122,54,361,0,8612,327,711
Trapinch,Ground,9,45,100,45,10,200,Haunter,Ghost,16,45,50,45,95,235,0,8613,328,93
Vibrava,Ground,9,50,70,50,70,240,Lampent,Ghost,16,60,40,60,55,75,1,8614,329,608
Flygon,Ground,9,80,100,80,100,360,Litwick,Ghost,16,50,30,55,20,-45,1,8615,330,607
Cacnea,Grass,1,50,85,40,35,210,Mega Banette,Ghost,16,64,165,75,75,294,0,8616,331,354
Cacturne,Grass,1,70,115,60,55,300,Mega Gengar,Ghost,16,60,65,80,130,277.5,1,8617,332,94
Swablu,Normal,5,45,40,60,50,195,Mimikyu,Ghost,16,55,90,80,96,321,0,8618,333,778
Altaria,Dragon,17,75,70,90,80,315,Misdreavus,Ghost,16,60,60,60,85,195,1,8619,334,200
Mega Altaria,Dragon,17,75,110,110,80,375,Mismagius,Ghost,16,60,60,60,105,175,1,8620,334,429
Zangoose,Normal,5,73,115,60,90,338,Oricorio Sensu Style,Ghost,16,75,70,70,93,308,1,8621,335,741
Seviper,Poison,7,73,100,60,65,298,Palossand,Ghost,16,85,75,110,35,280,1,8622,336,770
Lunatone,Rock,15,90,55,65,70,280,Phantump,Ghost,16,43,70,48,38,144,1,8623,337,708
Solrock,Rock,15,90,95,85,70,340,Polteageist,Ghost,16,60,65,65,70,165,1,8624,338,855
Barboach,Water,3,50,48,43,60,201,Pumpkaboo Average Size,Ghost,16,49,66,70,51,212,0,8625,339,710
Whiscash,Water,3,110,78,73,60,321,Pumpkaboo Large Size,Ghost,16,54,66,70,46,197,1,8626,340,710
Corphish,Water,3,43,80,65,35,223,Pumpkaboo Small Size,Ghost,16,44,66,70,56,196,1,8627,341,710
Crawdaunt,Water,3,63,120,85,55,323,Pumpkaboo Super Size,Ghost,16,59,66,70,41,176,1,8628,342,710
Baltoy,Ground,9,40,40,55,55,190,Sandygast,Ghost,16,55,55,80,15,165,1,8629,343,769
Claydol,Ground,9,60,70,105,75,310,Shuppet,Ghost,16,44,75,35,45,129,1,8630,344,353
Lileep,Rock,15,66,41,77,23,207,Sinistea,Ghost,16,40,45,45,50,139,1,8631,345,854
Cradily,Rock,15,86,81,97,43,307,Spiritomb,Ghost,16,50,92,108,35,204,1,8632,346,442
Anorith,Rock,15,45,95,50,75,265,Trevenant,Ghost,16,85,110,76,56,232,1,8633,347,709
Armaldo,Rock,15,75,125,100,45,345,Yamask,Ghost,16,38,30,85,30,58,1,8634,348,562
Feebas,Water,3,20,15,20,80,135,Banette,Ghost,16,64,115,65,65,294,0,8635,349,354
Milotic,Water,3,95,60,79,81,315,Chandelure,Ghost,16,60,55,90,80,165,1,8636,350,609
Castform,Normal,5,70,70,70,70,280,Cofagrigus,Ghost,16,58,50,145,30,283,0,8637,351,563
Castform Sunny Form,Fire,2,70,70,70,70,280,Cursola,Ghost,16,60,95,50,30,165,1,8638,351,864
Castform Rainy Form,Water,3,70,70,70,70,280,Dhelmise,Ghost,16,70,131,100,40,306,0,8639,351,781
Castform Snowy Form,Ice,10,70,70,70,70,280,Drifblim,Ghost,16,150,80,44,80,214,1,8640,351,426
Kecleon,Normal,5,60,90,70,40,260,Drifloon,Ghost,16,90,50,34,70,244,1,8641,352,425
Shuppet,Ghost,16,44,75,35,45,199,Dusclops,Ghost,16,40,70,130,25,115,1,8642,353,356
Banette,Ghost,16,64,115,65,65,309,Dusknoir,Ghost,16,45,100,135,45,95,1,8643,354,477
Mega Banette,Ghost,16,64,165,75,75,379,Duskull,Ghost,16,20,40,90,25,-155,1,8644,354,355
Duskull,Ghost,16,20,40,90,25,175,Galarian Corsola,Ghost,16,60,55,100,30,165,1,8645,355,222
Dusclops,Ghost,16,40,70,130,25,265,Gastly,Ghost,16,30,35,30,80,35,1,8646,356,92
Tropius,Grass,1,99,68,83,51,301,Gengar,Ghost,16,60,65,60,110,261,1,8647,357,94
Chimecho,Psychic,14,75,50,80,65,270,Giratina Altered Forme,Ghost,16,150,100,120,90,410,0,8648,358,487
Absol,Dark,6,65,130,60,75,330,Giratina Origin Forme,Ghost,16,150,120,100,90,200,1,8649,359,487
Mega Absol,Dark,6,65,150,60,115,390,Gourgeist Average Size,Ghost,16,65,90,122,84,61,1,8650,359,711
Wynaut,Psychic,14,95,23,48,23,189,Gourgeist Large Size,Ghost,16,75,95,122,69,338,0,8651,360,711
Snorunt,Ice,10,50,50,50,50,200,Gourgeist Small Size,Ghost,16,55,85,122,99,261,0,8652,361,711
Glalie,Ice,10,80,80,80,80,320,Gourgeist Super Size,Ghost,16,85,100,122,54,201,1,8653,362,711
Mega Glalie,Ice,10,80,120,80,100,380,Haunter,Ghost,16,45,50,45,95,115,1,8654,362,93
Spheal,Ice,10,70,40,50,25,185,Lampent,Ghost,16,60,40,60,55,195,0,8655,363,608
Sealeo,Ice,10,90,60,70,45,265,Litwick,Ghost,16,50,30,55,20,125,1,8656,364,607
Walrein,Ice,10,110,80,90,65,345,Mega Banette,Ghost,16,64,165,75,75,299,1,8657,365,354
Clamperl,Water,3,35,64,85,32,216,Mega Gengar,Ghost,16,60,65,80,130,271,0,8658,366,94
Huntail,Water,3,55,104,105,52,316,Mimikyu,Ghost,16,55,90,80,96,217,1,8659,367,778
Gorebyss,Water,3,55,84,105,52,296,Misdreavus,Ghost,16,60,60,60,85,181,1,8660,368,200
Relicanth,Water,3,100,90,130,55,375,Mismagius,Ghost,16,60,60,60,105,195,1,8661,369,429
Luvdisc,Water,3,43,30,55,97,225,Oricorio Sensu Style,Ghost,16,75,70,70,93,278,0,8662,370,741
Bagon,Dragon,17,45,75,60,50,230,Palossand,Ghost,16,85,75,110,35,230,0,8663,371,770
Shelgon,Dragon,17,65,95,100,50,310,Phantump,Ghost,16,43,70,48,38,104,1,8664,372,708
Salamence,Dragon,17,95,135,80,100,410,Polteageist,Ghost,16,60,65,65,70,125,1,8665,373,855
Mega Salamence,Dragon,17,95,145,130,120,490,Pumpkaboo Average Size,Ghost,16,49,66,70,51,91,1,8666,373,710
Beldum,Steel,12,40,55,80,30,205,Pumpkaboo Large Size,Ghost,16,54,66,70,46,181,1,8667,374,710
Metang,Steel,12,60,75,100,50,285,Pumpkaboo Small Size,Ghost,16,44,66,70,56,161,1,8668,375,710
Metagross,Steel,12,80,135,130,70,415,Pumpkaboo Super Size,Ghost,16,59,66,70,41,101,1,8669,376,710
Mega Metagross,Steel,12,80,145,150,110,485,Sandygast,Ghost,16,55,55,80,15,60,1,8670,376,769
Regirock,Rock,15,80,100,200,50,430,Shuppet,Ghost,16,44,75,35,45,99,1,8671,377,353
Regice,Ice,10,80,50,100,50,280,Sinistea,Ghost,16,40,45,45,50,130,1,8672,378,854
Registeel,Steel,12,80,75,150,50,355,Spiritomb,Ghost,16,50,92,108,35,210,1,8673,379,442
Latias,Dragon,17,80,80,90,110,360,Trevenant,Ghost,16,85,110,76,56,247,1,8674,380,709
Mega Latias,Dragon,17,80,100,120,110,410,Yamask,Ghost,16,38,30,85,30,83,1,8675,380,562
Latios,Dragon,17,80,90,80,110,360,Banette,Ghost,16,64,115,65,65,219,1,8676,381,354
Mega Latios,Dragon,17,80,130,100,110,420,Chandelure,Ghost,16,60,55,90,80,155,1,8677,381,609
Kyogre,Water,3,100,100,90,90,380,Cofagrigus,Ghost,16,58,50,145,30,183,1,8678,382,563
Primal Kyogre,Water,3,100,150,90,90,430,Cursola,Ghost,16,60,95,50,30,85,1,8679,382,864
Groudon,Ground,9,100,150,140,90,480,Dhelmise,Ghost,16,70,131,100,40,266,1,8680,383,781
Primal Groudon,Ground,9,100,180,160,90,530,Drifblim,Ghost,16,150,80,44,80,354,1,8681,383,426
Rayquaza,Dragon,17,105,150,90,95,440,Drifloon,Ghost,16,90,50,34,70,94,1,8682,384,425
Mega Rayquaza,Dragon,17,105,180,100,115,500,Dusclops,Ghost,16,40,70,130,25,85,1,8683,384,356
Jirachi,Steel,12,100,100,100,100,400,Dusknoir,Ghost,16,45,100,135,45,225,1,8684,385,477
Deoxys Normal Forme,Psychic,14,50,150,50,150,400,Duskull,Ghost,16,20,40,90,25,25,1,8685,386,355
Deoxys Attack Forme,Psychic,14,50,180,20,150,400,Galarian Corsola,Ghost,16,60,55,100,30,65,1,8686,386,222
Deoxys Defense Forme,Psychic,14,50,70,160,90,370,Gastly,Ghost,16,30,35,30,80,35,1,8687,386,92
Deoxys Speed Forme,Psychic,14,50,95,90,180,415,Gengar,Ghost,16,60,65,60,110,105,1,8688,386,94
Turtwig,Grass,1,55,68,64,31,218,Giratina Altered Forme,Ghost,16,150,100,120,90,426,0,8689,387,487
Grotle,Grass,1,75,89,85,36,285,Giratina Origin Forme,Ghost,16,150,120,100,90,415.5,0,8690,388,487
Torterra,Grass,1,95,109,105,56,365,Gourgeist Average Size,Ghost,16,65,90,122,84,306.5,1,8691,389,711
Chimchar,Fire,2,44,58,44,61,207,Gourgeist Large Size,Ghost,16,75,95,122,69,245,0,8692,390,711
Monferno,Fire,2,64,78,52,81,275,Gourgeist Small Size,Ghost,16,55,85,122,99,205,1,8693,391,711
Infernape,Fire,2,76,104,71,108,359,Gourgeist Super Size,Ghost,16,85,100,122,54,153,1,8694,392,711
Piplup,Water,3,53,51,53,40,197,Haunter,Ghost,16,45,50,45,95,184,1,8695,393,93
Prinplup,Water,3,64,66,68,50,248,Lampent,Ghost,16,60,40,60,55,83,1,8696,394,608
Empoleon,Water,3,84,86,88,60,318,Litwick,Ghost,16,50,30,55,20,-17,1,8697,395,607
Starly,Normal,5,40,55,30,60,185,Mega Banette,Ghost,16,64,165,75,75,379,0,8698,396,354
Staravia,Normal,5,55,75,50,80,260,Mega Gengar,Ghost,16,60,65,80,130,335,0,8699,397,94
Staraptor,Normal,5,85,120,70,100,375,Mimikyu,Ghost,16,55,90,80,96,321,1,8700,398,778
Bidoof,Normal,5,59,45,40,31,175,Misdreavus,Ghost,16,60,60,60,85,265,0,8701,399,200
Bibarel,Normal,5,79,85,60,71,295,Mismagius,Ghost,16,60,60,60,105,285,1,8702,400,429
Kricketot,Bug,4,37,25,41,25,128,Oricorio Sensu Style,Ghost,16,75,70,70,93,301.75,0,8703,401,741
Kricketune,Bug,4,77,85,51,65,278,Palossand,Ghost,16,85,75,110,35,262.5,1,8704,402,770
Shinx,Electric,8,45,65,34,45,189,Phantump,Ghost,16,43,70,48,38,166.5,1,8705,403,708
Luxio,Electric,8,60,85,49,60,254,Polteageist,Ghost,16,60,65,65,70,175,1,8706,404,855
Luxray,Electric,8,80,120,79,70,349,Pumpkaboo Average Size,Ghost,16,49,66,70,51,176,1,8707,405,710
Budew,Grass,1,40,30,35,55,160,Pumpkaboo Large Size,Ghost,16,54,66,70,46,221,0,8708,406,710
Roserade,Grass,1,60,70,65,90,285,Pumpkaboo Small Size,Ghost,16,44,66,70,56,201,1,8709,407,710
Cranidos,Rock,15,67,125,40,58,290,Pumpkaboo Super Size,Ghost,16,59,66,70,41,111,1,8710,408,710
Rampardos,Rock,15,97,165,60,58,380,Sandygast,Ghost,16,55,55,80,15,122.5,1,8711,409,769
Shieldon,Rock,15,30,42,118,30,220,Shuppet,Ghost,16,44,75,35,45,157,1,8712,410,353
Bastiodon,Rock,15,60,52,168,30,310,Sinistea,Ghost,16,40,45,45,50,128,1,8713,411,854
Burmy,Bug,4,40,29,45,36,150,Spiritomb,Ghost,16,50,92,108,35,256,0,8714,412,442
Wormadam Plant Cloak,Bug,4,60,59,85,36,240,Trevenant,Ghost,16,85,110,76,56,268,0,8715,413,709
Wormadam Sandy Cloak,Bug,4,60,79,105,36,280,Yamask,Ghost,16,38,30,85,30,143.5,1,8716,413,562
Wormadam Trash Cloak,Bug,4,60,69,95,36,260,Banette,Ghost,16,64,115,65,65,274.5,0,8717,413,354
Mothim,Bug,4,70,94,50,66,280,Chandelure,Ghost,16,60,55,90,80,261.5,1,8718,414,609
Combee,Bug,4,30,30,42,70,172,Cofagrigus,Ghost,16,58,50,145,30,268,0,8719,415,563
Vespiquen,Bug,4,70,80,102,40,292,Cursola,Ghost,16,60,95,50,30,195,1,8720,416,864
Pachirisu,Electric,8,60,45,70,95,270,Dhelmise,Ghost,16,70,131,100,40,318.5,0,8721,417,781
Buizel,Water,3,55,65,35,85,240,Drifblim,Ghost,16,150,80,44,80,289,0,8722,418,426
Floatzel,Water,3,85,105,55,115,360,Drifloon,Ghost,16,90,50,34,70,139,1,8723,419,425
Cherubi,Grass,1,45,35,45,35,160,Dusclops,Ghost,16,40,70,130,25,230,0,8724,420,356
Cherrim,Grass,1,70,60,70,85,285,Dusknoir,Ghost,16,45,100,135,45,265,1,8725,421,477
Shellos,Water,3,76,48,48,34,206,Duskull,Ghost,16,20,40,90,25,127,1,8726,422,355
Gastrodon,Water,3,111,83,68,39,301,Galarian Corsola,Ghost,16,60,55,100,30,162,1,8727,423,222
Ambipom,Normal,5,75,100,66,115,356,Gastly,Ghost,16,30,35,30,80,175,1,8728,424,92
Drifloon,Ghost,16,90,50,34,70,244,Gengar,Ghost,16,60,65,60,110,195,1,8729,425,94
Drifblim,Ghost,16,150,80,44,80,354,Giratina Altered Forme,Ghost,16,150,100,120,90,300,1,8730,426,487
Buneary,Normal,5,55,66,44,85,250,Giratina Origin Forme,Ghost,16,150,120,100,90,460,0,8731,427,487
Lopunny,Normal,5,65,76,84,105,330,Gourgeist Average Size,Ghost,16,65,90,122,84,361,0,8732,428,711
